year,season,noc,team,sport,event,medal
1900,Summer,DEN,Denmark/Sweden,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
1920,Summer,FIN,Finland,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
1920,Summer,FIN,Finland,Swimming,Swimming Men's 400 metres Breaststroke,Bronze
2014,Winter,FIN,Finland,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
1948,Summer,FIN,Finland,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
1948,Summer,FIN,Finland,Gymnastics,Gymnastics Men's Team All-Around,Gold
1948,Summer,FIN,Finland,Gymnastics,Gymnastics Men's Horse Vault,Gold
1948,Summer,FIN,Finland,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
1952,Summer,FIN,Finland,Gymnastics,Gymnastics Men's Team All-Around,Bronze
1992,Winter,NOR,Norway,Alpine Skiing,Alpine Skiing Men's Super G,Gold
1992,Winter,NOR,Norway,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze
1994,Winter,NOR,Norway,Alpine Skiing,Alpine Skiing Men's Downhill,Silver
1994,Winter,NOR,Norway,Alpine Skiing,Alpine Skiing Men's Super G,Bronze
1994,Winter,NOR,Norway,Alpine Skiing,Alpine Skiing Men's Combined,Silver
2002,Winter,NOR,Norway,Alpine Skiing,Alpine Skiing Men's Super G,Gold
2002,Winter,NOR,Norway,Alpine Skiing,Alpine Skiing Men's Combined,Gold
2006,Winter,NOR,Norway,Alpine Skiing,Alpine Skiing Men's Super G,Gold
2008,Summer,NOR,Norway,Handball,Handball Women's Handball,Gold
1920,Summer,NOR,Norway,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
1988,Summer,NED,Netherlands,Hockey,Hockey Women's Hockey,Bronze
1996,Summer,NED,Netherlands,Rowing,Rowing Men's Lightweight Double Sculls,Silver
1996,Summer,NOR,Norway,Football,Football Women's Football,Bronze
1952,Winter,NOR,Norway,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze
1960,Winter,NOR,Norway,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
1912,Summer,NOR,Taifun,Sailing,Sailing Mixed 8 metres,Gold
1956,Summer,FRA,France,Cycling,"Cycling Men's Road Race, Team",Gold
2016,Summer,ITA,Italy,Rowing,Rowing Men's Coxless Pairs,Bronze
2008,Summer,ESP,Spain,Fencing,"Fencing Men's epee, Individual",Bronze
2016,Summer,AZE,Azerbaijan,Taekwondo,Taekwondo Women's Flyweight,Bronze
2008,Summer,RUS,Russia,Athletics,Athletics Women's Javelin Throw,Silver
2008,Summer,BLR,Belarus,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
2008,Summer,FRA,France,Handball,Handball Men's Handball,Gold
2012,Summer,FRA,France,Handball,Handball Men's Handball,Gold
2016,Summer,FRA,France,Handball,Handball Men's Handball,Silver
2000,Summer,CMR,Cameroon,Football,Football Men's Football,Gold
1996,Summer,ESP,Spain,Water Polo,Water Polo Men's Water Polo,Gold
2004,Summer,USA,United States,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
1980,Summer,ESP,Spain,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
1984,Summer,ESP,Spain,Athletics,"Athletics Men's 1,500 metres",Bronze
2004,Summer,RUS,Russia,Cycling,Cycling Women's Sprint,Silver
1992,Summer,HUN,Hungary,Fencing,"Fencing Men's Sabre, Team",Silver
1936,Summer,HUN,Hungary,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
1936,Summer,ITA,Italy,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
1988,Summer,ITA,Italy,Rowing,Rowing Men's Quadruple Sculls,Gold
1996,Summer,ITA,Italy,Rowing,Rowing Men's Double Sculls,Gold
2000,Summer,ITA,Italy,Rowing,Rowing Men's Quadruple Sculls,Gold
1984,Summer,ITA,Italy,Rowing,Rowing Men's Coxed Pairs,Gold
1988,Summer,ITA,Italy,Rowing,Rowing Men's Coxed Pairs,Gold
1992,Summer,ITA,Italy,Rowing,Rowing Men's Coxed Pairs,Silver
1906,Summer,GRE,Thessalonki-1,Football,Football Men's Football,Bronze
2008,Summer,AUS,Australia,Hockey,Hockey Men's Hockey,Bronze
2014,Winter,USA,United States,Figure Skating,Figure Skating Mixed Team,Bronze
1900,Summer,USA,United States,Golf,Golf Women's Individual,Gold
2008,Summer,USA,United States,Softball,Softball Women's Softball,Silver
2004,Summer,USA,United States,Taekwondo,Taekwondo Women's Featherweight,Silver
2016,Summer,IRI,Iran,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
1984,Summer,CAN,Canada,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
1960,Summer,PAK,Pakistan,Hockey,Hockey Men's Hockey,Gold
1964,Summer,PAK,Pakistan,Hockey,Hockey Men's Hockey,Silver
1972,Summer,URS,Soviet Union,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
2000,Summer,UZB,Uzbekistan,Boxing,Boxing Men's Light-Welterweight,Gold
1996,Summer,AZE,Azerbaijan,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
2000,Summer,AZE,Azerbaijan,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
2000,Summer,USA,United States,Basketball,Basketball Men's Basketball,Gold
2008,Summer,TJK,Tajikistan,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
1992,Summer,EUN,Unified Team,Athletics,Athletics Men's Hammer Throw,Gold
1994,Winter,JPN,Japan,Nordic Combined,Nordic Combined Men's Team,Gold
1992,Summer,ETH,Ethiopia,Athletics,"Athletics Men's 10,000 metres",Bronze
1924,Summer,SUI,Switzerland,Football,Football Men's Football,Silver
1924,Winter,USA,United States,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
1952,Winter,CAN,Canada,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
1972,Summer,GDR,East Germany,Gymnastics,Gymnastics Women's Team All-Around,Silver
2012,Summer,CAN,Canada,Diving,Diving Women's Synchronized Springboard,Bronze
1920,Summer,NOR,Fornebo,Sailing,Sailing Mixed 7 metres,Silver
1992,Summer,ESP,Spain,Football,Football Men's Football,Gold
1900,Summer,USA,Vesper Boat Club,Rowing,Rowing Men's Coxed Eights,Gold
1904,Summer,USA,Vesper Boat Club,Rowing,Rowing Men's Coxed Eights,Gold
2000,Summer,ETH,Ethiopia,Athletics,Athletics Men's Marathon,Gold
1912,Summer,SWE,Sweden,Athletics,Athletics Men's Long Jump,Bronze
1912,Summer,SWE,Sweden,Athletics,Athletics Men's Triple Jump,Silver
2000,Summer,USA,United States,Baseball,Baseball Men's Baseball,Gold
1956,Summer,RSA,South Africa,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
2008,Summer,TUR,Turkey,Athletics,"Athletics Women's 5,000 metres",Silver
1980,Summer,BUL,Bulgaria,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
1932,Summer,USA,United States,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
