year,season,noc,team,sport,event,medal
2012,Summer,RUS,Russia,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
2012,Summer,RUS,Russia,Gymnastics,Gymnastics Men's Horse Vault,Silver
2016,Summer,RUS,Russia,Gymnastics,Gymnastics Men's Team All-Around,Silver
2016,Summer,RUS,Russia,Gymnastics,Gymnastics Men's Horse Vault,Silver
2016,Summer,RUS,Russia,Gymnastics,Gymnastics Men's Rings,Bronze
1972,Summer,URS,Soviet Union,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
1972,Summer,URS,Soviet Union,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
2016,Summer,AUS,Australia,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
2012,Summer,EGY,Egypt,Fencing,"Fencing Men's Foil, Individual",Silver
1988,Summer,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
1988,Summer,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
1992,Summer,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
1980,Summer,GBR,Great Britain,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
2004,Summer,SWE,Sweden,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
1924,Summer,GBR,Great Britain,Athletics,Athletics Men's 100 metres,Gold
1924,Summer,GBR,Great Britain,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
1912,Summer,NOR,Norway,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
1920,Summer,SWE,Sweden,Athletics,Athletics Men's Long Jump,Bronze
1928,Winter,SWE,Sweden,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
2004,Summer,RUS,Russia,Volleyball,Volleyball Men's Volleyball,Bronze
1964,Summer,URS,Soviet Union,Volleyball,Volleyball Women's Volleyball,Silver
2006,Winter,RUS,Russia,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
2016,Summer,ESP,Spain,Basketball,Basketball Men's Basketball,Bronze
2008,Summer,RUS,Russia,Basketball,Basketball Women's Basketball,Bronze
1980,Summer,URS,Soviet Union,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
2004,Summer,FRA,France,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
2008,Summer,FRA,France,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
2016,Summer,JOR,Jordan,Taekwondo,Taekwondo Men's Featherweight,Gold
1964,Summer,JPN,Japan,Gymnastics,Gymnastics Women's Team All-Around,Bronze
1980,Summer,URS,Soviet Union,Fencing,"Fencing Men's epee, Team",Bronze
1980,Summer,URS,Soviet Union,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
2008,Summer,ROU,Romania,Gymnastics,Gymnastics Women's Team All-Around,Bronze
1988,Winter,SUI,Switzerland,Alpine Skiing,Alpine Skiing Men's Combined,Bronze
1920,Summer,ESP,Spain,Football,Football Men's Football,Silver
1992,Summer,PUR,Puerto Rico,Boxing,Boxing Men's Welterweight,Bronze
1984,Summer,MEX,Mexico,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
1992,Summer,GHA,Ghana,Football,Football Men's Football,Bronze
1984,Summer,SUI,Switzerland,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
1988,Summer,MAR,Morocco,Boxing,Boxing Men's Featherweight,Bronze
1992,Summer,MAR,Morocco,Boxing,Boxing Men's Bantamweight,Bronze
1968,Winter,URS,Soviet Union,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
2012,Summer,NED,Netherlands,Rowing,Rowing Women's Coxed Eights,Bronze
2016,Summer,NED,Netherlands,Rowing,Rowing Women's Quadruple Sculls,Silver
1920,Summer,SWE,Sweden,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
1976,Summer,NZL,New Zealand,Hockey,Hockey Men's Hockey,Gold
1920,Summer,USA,United States,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
2002,Winter,GER,Germany,Nordic Combined,Nordic Combined Men's Team,Silver
2002,Winter,GER,Germany,Nordic Combined,Nordic Combined Men's Sprint,Silver
2006,Winter,GER,Germany,Nordic Combined,Nordic Combined Men's Team,Silver
1992,Winter,SUI,Switzerland-1,Bobsleigh,Bobsleigh Men's Two,Gold
1992,Winter,SUI,Switzerland-1,Bobsleigh,Bobsleigh Men's Four,Bronze
1994,Winter,SUI,Switzerland-1,Bobsleigh,Bobsleigh Men's Two,Gold
1994,Winter,SUI,Switzerland-1,Bobsleigh,Bobsleigh Men's Four,Silver
1994,Winter,SUI,Switzerland-2,Bobsleigh,Bobsleigh Men's Two,Silver
2008,Summer,ARG,Argentina,Football,Football Men's Football,Gold
2008,Summer,CUB,Cuba,Boxing,Boxing Men's Heavyweight,Bronze
1952,Summer,URU,Uruguay,Basketball,Basketball Men's Basketball,Bronze
1980,Summer,POL,Poland,Boxing,Boxing Men's Lightweight,Bronze
1936,Summer,USA,United States,Rowing,Rowing Men's Coxed Eights,Gold
1976,Summer,TCH,Czechoslovakia,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
2006,Winter,CAN,Canada,Curling,Curling Men's Curling,Gold
1936,Summer,GER,Germany,Fencing,"Fencing Men's Foil, Team",Bronze
1948,Summer,FRA,France,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
1992,Summer,POL,Poland,Football,Football Men's Football,Silver
1912,Summer,USA,United States,Athletics,Athletics Men's Standing High Jump,Silver
1912,Summer,USA,United States,Athletics,Athletics Men's Standing Long Jump,Bronze
1904,Summer,USA,United States,Swimming,Swimming Men's Plunge For Distance,Silver
1912,Summer,USA,United States,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold
1980,Summer,GBR,Great Britain,Judo,Judo Men's Lightweight,Silver
1984,Summer,GBR,Great Britain,Judo,Judo Men's Half-Middleweight,Silver
2012,Summer,GBR,Great Britain,Boxing,Boxing Women's Flyweight,Gold
2016,Summer,GBR,Great Britain,Boxing,Boxing Women's Flyweight,Gold
1912,Summer,USA,United States,Athletics,Athletics Men's Standing High Jump,Gold
1912,Summer,USA,United States,Athletics,Athletics Men's Standing Long Jump,Silver
2016,Summer,USA,United States,Volleyball,Volleyball Women's Volleyball,Bronze
2014,Winter,GBR,Great Britain,Curling,Curling Women's Curling,Bronze
2008,Summer,NZL,New Zealand,Athletics,Athletics Women's Shot Put,Gold
2012,Summer,NZL,New Zealand,Athletics,Athletics Women's Shot Put,Gold
2016,Summer,NZL,New Zealand,Athletics,Athletics Women's Shot Put,Silver
2012,Summer,GER,Germany,Rowing,Rowing Men's Coxed Eights,Gold
1936,Summer,GER,Germany,Rowing,Rowing Men's Coxed Pairs,Gold
1960,Summer,POL,Poland,Boxing,Boxing Men's Featherweight,Silver
1920,Summer,SUI,Switzerland,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Bronze
2008,Summer,NGR,Nigeria,Football,Football Men's Football,Silver
1984,Summer,BRA,Brazil,Football,Football Men's Football,Silver
1988,Summer,BRA,Brazil,Football,Football Men's Football,Silver
1992,Summer,NGR,Nigeria,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
2012,Summer,BRA,Brazil,Volleyball,Volleyball Women's Volleyball,Gold
1992,Summer,FRA,France-1,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
1996,Summer,FRA,France-1,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
2010,Winter,GER,Germany-2,Bobsleigh,Bobsleigh Men's Two,Silver
1952,Summer,USA,United States,Boxing,Boxing Men's Light-Welterweight,Gold
1996,Summer,USA,United States,Athletics,Athletics Men's 400 metres Hurdles,Gold
1948,Summer,GBR,Great Britain,Hockey,Hockey Men's Hockey,Silver
1984,Summer,BRA,Brazil,Sailing,Sailing Mixed Three Person Keelboat,Silver
1960,Summer,GER,Germany,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
1912,Summer,AUT,Austria,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
1936,Summer,SWE,Sweden,Equestrianism,"Equestrianism Men's Dressage, Team",Bronze
1912,Summer,SWE,Sweden,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
1908,Summer,SWE,Sweden,Tennis,"Tennis Women's Singles, Covered Courts",Bronze
1912,Summer,SWE,Sweden,Diving,Diving Men's Platform,Gold
1912,Summer,SWE,Sweden,Diving,Diving Men's Plain High,Gold
1920,Summer,SWE,Sweden,Diving,Diving Men's Platform,Silver
2008,Summer,GBR,Great Britain,Swimming,Swimming Women's 400 metres Freestyle,Gold
2008,Summer,GBR,Great Britain,Swimming,Swimming Women's 800 metres Freestyle,Gold
2012,Summer,GBR,Great Britain,Swimming,Swimming Women's 400 metres Freestyle,Bronze
2012,Summer,GBR,Great Britain,Swimming,Swimming Women's 800 metres Freestyle,Bronze
2000,Summer,LTU,Lithuania,Basketball,Basketball Men's Basketball,Bronze
2008,Summer,USA,United States,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
2012,Summer,USA,United States,Swimming,Swimming Men's 100 metres Freestyle,Gold
2012,Summer,USA,United States,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
2012,Summer,USA,United States,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
2016,Summer,USA,United States,Swimming,Swimming Men's 50 metres Freestyle,Bronze
2016,Summer,USA,United States,Swimming,Swimming Men's 100 metres Freestyle,Bronze
2016,Summer,USA,United States,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
2016,Summer,USA,United States,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1996,Summer,BRA,Brazil,Basketball,Basketball Women's Basketball,Silver
2000,Summer,BRA,Brazil,Basketball,Basketball Women's Basketball,Bronze
1996,Summer,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
1964,Summer,GER,Germany,Rowing,Rowing Men's Coxed Eights,Silver
2012,Summer,RUS,Russia,Gymnastics,Gymnastics Women's Team All-Around,Silver
2002,Winter,RUS,Russia,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
1996,Summer,NGR,Nigeria,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
1976,Summer,ROU,Romania,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
2016,Summer,RSA,South Africa,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
1984,Summer,ROU,Romania,Gymnastics,Gymnastics Women's Team All-Around,Gold
1984,Summer,ROU,Romania,Gymnastics,Gymnastics Women's Horse Vault,Bronze
2004,Summer,ITA,Italy,Rowing,Rowing Men's Coxless Fours,Bronze
2008,Summer,ITA,Italy,Rowing,Rowing Men's Quadruple Sculls,Silver
1996,Summer,USA,United States,Tennis,Tennis Men's Singles,Gold
2016,Summer,FRA,France,Judo,Judo Women's Half-Middleweight,Silver
1920,Summer,NOR,Stella-2,Sailing,Sailing Mixed 6 metres,Bronze
1956,Summer,URS,Soviet Union,Water Polo,Water Polo Men's Water Polo,Bronze
1960,Summer,URS,Soviet Union,Water Polo,Water Polo Men's Water Polo,Silver
1964,Summer,URS,Soviet Union,Water Polo,Water Polo Men's Water Polo,Bronze
2008,Summer,NED,Netherlands,Hockey,Hockey Women's Hockey,Gold
2012,Summer,NED,Netherlands,Hockey,Hockey Women's Hockey,Gold
2012,Summer,FRA,France,Swimming,Swimming Men's 200 metres Freestyle,Gold
2012,Summer,FRA,France,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
2012,Summer,FRA,France,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
2006,Winter,CAN,Canada,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
2010,Winter,CAN,Canada,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
2014,Winter,CAN,Canada,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
2006,Winter,USA,United States-1,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
1964,Summer,HUN,Hungary,Fencing,"Fencing Women's Foil, Team",Gold
1928,Summer,ITA,Italy,Fencing,"Fencing Men's epee, Team",Gold
1932,Summer,ITA,Italy,Fencing,"Fencing Men's epee, Individual",Bronze
1932,Summer,ITA,Italy,Fencing,"Fencing Men's epee, Team",Silver
1948,Summer,ITA,Italy,Fencing,"Fencing Men's epee, Team",Silver
1936,Summer,SWE,Sweden,Boxing,Boxing Men's Lightweight,Bronze
1906,Summer,GRE,"Large boat, Central Naval Prep School ""Poros""-1",Rowing,Rowing Men's 17-Man Naval Rowing Boats,Gold
1928,Summer,NED,Netherlands,Gymnastics,Gymnastics Women's Team All-Around,Gold
2000,Summer,CUB,Cuba,Volleyball,Volleyball Women's Volleyball,Gold
1980,Summer,CUB,Cuba,Boxing,Boxing Men's Light-Welterweight,Bronze
2012,Summer,ESP,Spain,Handball,Handball Women's Handball,Bronze
2016,Summer,ESP,Spain,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
1992,Summer,CUB,Cuba,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
2016,Summer,INA,Indonesia,Weightlifting,Weightlifting Women's Flyweight,Silver
2008,Summer,USA,United States,Volleyball,Volleyball Women's Volleyball,Silver
1972,Winter,USA,United States,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
1908,Summer,GBR,Great Britain,Athletics,Athletics Men's Triple Jump,Gold
1932,Summer,FIN,Finland,Boxing,Boxing Men's Welterweight,Bronze
1980,Winter,SWE,Sweden,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
2002,Winter,SWE,Sweden,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
1924,Winter,SWE,Sweden,Curling,Curling Men's Curling,Silver
1984,Winter,SWE,Sweden,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
1924,Summer,FIN,Finland,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Silver
1912,Summer,SWE,Sweden,Wrestling,"Wrestling Men's Middleweight B, Greco-Roman",Silver
1948,Summer,USA,United States,Rowing,Rowing Men's Coxed Eights,Gold
2004,Summer,GER,Germany,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
2016,Summer,GER,Germany,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
1932,Summer,SWE,Sweden,Boxing,Boxing Men's Lightweight,Silver
1952,Summer,SWE,Sweden,Football,Football Men's Football,Bronze
2016,Summer,INA,Indonesia-1,Badminton,Badminton Mixed Doubles,Gold
1948,Summer,SWE,Sweden,Athletics,Athletics Men's Triple Jump,Gold
2000,Summer,GER,Germany-1,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze
1992,Summer,USA,United States,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
1992,Summer,USA,United States,Swimming,Swimming Women's 100 metres Butterfly,Silver
1992,Summer,USA,United States,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
1992,Summer,PAK,Pakistan,Hockey,Hockey Men's Hockey,Bronze
1968,Summer,PAK,Pakistan,Hockey,Hockey Men's Hockey,Gold
1984,Summer,PAK,Pakistan,Hockey,Hockey Men's Hockey,Gold
1972,Summer,PAK,Pakistan,Hockey,Hockey Men's Hockey,Silver
1912,Summer,FIN,Lucky Girl-1,Sailing,Sailing Mixed 8 metres,Bronze
2002,Winter,FIN,Finland,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver
2006,Winter,FIN,Finland,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver
1964,Summer,GER,Mutafo,Sailing,Sailing Mixed Three Person Keelboat,Silver
1976,Summer,GDR,East Germany,Rowing,Rowing Women's Coxed Eights,Gold
2004,Summer,USA,United States,Rowing,Rowing Men's Coxed Eights,Gold
1956,Summer,CHI,Chile,Athletics,Athletics Women's Javelin Throw,Silver
2012,Summer,ITA,Italy,Water Polo,Water Polo Men's Water Polo,Silver
2016,Summer,ITA,Italy,Water Polo,Water Polo Men's Water Polo,Bronze
2000,Summer,ARG,Argentina,Hockey,Hockey Women's Hockey,Silver
2004,Summer,ARG,Argentina,Hockey,Hockey Women's Hockey,Bronze
2008,Summer,ARG,Argentina,Hockey,Hockey Women's Hockey,Bronze
1936,Winter,SUI,Switzerland-1,Bobsleigh,Bobsleigh Men's Four,Silver
2016,Summer,ITA,Italy,Water Polo,Water Polo Women's Water Polo,Silver
1924,Summer,AUT,Austria,Weightlifting,Weightlifting Men's Heavyweight,Silver
2012,Summer,GER,Germany,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
1956,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Team All-Around,Silver
1956,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Floor Exercise,Silver
1960,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Team All-Around,Gold
1960,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Floor Exercise,Gold
1992,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Team All-Around,Bronze
2004,Summer,JPN,Japan,Baseball,Baseball Men's Baseball,Bronze
1956,Summer,AUS,Australia,Rowing,Rowing Men's Coxed Eights,Bronze
1996,Summer,GBR,Great Britain,Sailing,Sailing Mixed One Person Dinghy,Silver
2000,Summer,GBR,Great Britain,Sailing,Sailing Mixed One Person Dinghy,Gold
2004,Summer,GBR,Great Britain,Sailing,Sailing Men's One Person Dinghy,Gold
2008,Summer,GBR,Great Britain,Sailing,Sailing Mixed One Person Dinghy,Gold
2012,Summer,GBR,Great Britain,Sailing,Sailing Men's One Person Heavyweight Dinghy,Gold
1920,Summer,GBR,Great Britain,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
1968,Summer,GBR,Great Britain,Sailing,Sailing Mixed 5.5 metres,Bronze
1936,Summer,CAN,Canada,Basketball,Basketball Men's Basketball,Silver
1912,Summer,GBR,Great Britain-1,Tennis,"Tennis Mixed Doubles, Covered Courts",Silver
1992,Summer,AUS,Australia,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
1996,Summer,AUS,Australia,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
2000,Summer,AUS,Australia,Cycling,Cycling Men's Madison,Gold
1900,Summer,FRA,Union des Socits Franais de Sports Athletiques,Rugby,Rugby Men's Rugby,Gold
2008,Summer,UKR,Ukraine,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
2000,Summer,GRE,Greece,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
2016,Summer,NGR,Nigeria,Football,Football Men's Football,Bronze
1992,Summer,CUB,Cuba,Baseball,Baseball Men's Baseball,Gold
1996,Summer,CUB,Cuba,Baseball,Baseball Men's Baseball,Gold
2000,Summer,CUB,Cuba,Baseball,Baseball Men's Baseball,Silver
2016,Summer,CAN,Canada,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
1996,Summer,NGR,Nigeria,Athletics,Athletics Women's Long Jump,Gold
1984,Summer,GBR,Great Britain,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
1992,Summer,GBR,Great Britain,Athletics,Athletics Men's 400 metres Hurdles,Bronze
1992,Summer,GBR,Great Britain,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
1984,Summer,JPN,Japan,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
1992,Summer,JPN,Japan,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
1948,Summer,TUR,Turkey,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
1992,Winter,JPN,Japan,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze
1956,Summer,TUR,Turkey,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze
1964,Summer,TUR,Turkey,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver
1972,Summer,TUR,Turkey,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
1948,Summer,SWE,Sweden,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Gold
1952,Summer,SWE,Sweden,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Silver
1932,Summer,SWE,Bissbi,Sailing,Sailing Mixed 6 metres,Gold
1996,Summer,USA,United States,Football,Football Women's Football,Gold
2016,Summer,TUR,Turkey,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
1980,Summer,URS,Soviet Union,Volleyball,Volleyball Women's Volleyball,Gold
1998,Winter,RUS,Russia,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Silver
2002,Winter,RUS,Russia,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze
