year,season,gender,sport,discipline,name,noc,team,height,weight,medal
1996,Summer,Men,Rowing,Lightweight Double Sculls,Pepijn Aardewijn,NED,Netherlands,189.0,72.0,Silver
1996,Summer,Women,Football,Football,Ann Kristin Aarnes,NOR,Norway,182.0,64.0,Bronze
1920,Summer,Men,Gymnastics,"Team All-Around, Free System",Karl Jan Aas,NOR,Norway,,,Silver
1952,Winter,Men,Speed Skating,"1,500 metres",Roald Edgar Aas,NOR,Norway,,,Bronze
1960,Winter,Men,Speed Skating,"1,500 metres",Roald Edgar Aas,NOR,Norway,,,Gold
1912,Summer,Men,Sailing,8 metres,Thomas Valentin Aas,NOR,Taifun,,,Gold
1956,Summer,Men,Cycling,"Road Race, Team",Ren Abadie,FRA,France,,,Gold
2016,Summer,Men,Rowing,Coxless Pairs,Giovanni Abagnale,ITA,Italy,198.0,90.0,Bronze
2008,Summer,Men,Fencing,"epee, Individual",Jos Luis Abajo Gmez,ESP,Spain,194.0,87.0,Bronze
2016,Summer,Women,Taekwondo,Flyweight,Patimat Abakarova,AZE,Azerbaijan,165.0,49.0,Bronze
2008,Summer,Women,Athletics,Javelin Throw,Mariya Vasilyevna Abakumova (-Tarabina),RUS,Russia,179.0,80.0,Silver
2008,Summer,Men,Canoeing,"Kayak Fours, 1,000 metres",Aleksey Aleksandrovich Abalmasov,BLR,Belarus,180.0,83.0,Gold
2008,Summer,Men,Handball,Handball,Luc Abalo,FRA,France,182.0,86.0,Gold
2012,Summer,Men,Handball,Handball,Luc Abalo,FRA,France,182.0,86.0,Gold
2016,Summer,Men,Handball,Handball,Luc Abalo,FRA,France,182.0,86.0,Silver
2000,Summer,Men,Football,Football,Jouan Patrice Abanda Etong,CMR,Cameroon,185.0,82.0,Gold
1996,Summer,Men,Water Polo,Water Polo,Jos Mara Abarca Plotas,ESP,Spain,186.0,83.0,Gold
2004,Summer,Men,Wrestling,"Featherweight, Freestyle",Stephen Anthony Abas,USA,United States,165.0,55.0,Silver
1980,Summer,Men,Sailing,Two Person Heavyweight Dinghy,Alejandro Abascal Garca,ESP,Spain,181.0,82.0,Gold
1984,Summer,Men,Athletics,"1,500 metres",Jos Manuel Abascal Gmez,ESP,Spain,182.0,67.0,Bronze
2004,Summer,Women,Cycling,Sprint,Tamila Rashidovna Abasova,RUS,Russia,163.0,60.0,Silver
2008,Summer,Men,Handball,Handball,Jol Marc Abati,FRA,France,190.0,85.0,Gold
1992,Summer,Men,Fencing,"Sabre, Team",Pter Abay,HUN,Hungary,181.0,79.0,Silver
1936,Summer,Men,Swimming,4 x 200 metres Freestyle Relay,Oszkr Abay-Nemes,HUN,Hungary,,,Bronze
1936,Summer,Men,Modern Pentathlon,Individual,Silvano Abba,ITA,Italy,,,Bronze
1988,Summer,Men,Rowing,Quadruple Sculls,Agostino Abbagnale,ITA,Italy,188.0,96.0,Gold
1996,Summer,Men,Rowing,Double Sculls,Agostino Abbagnale,ITA,Italy,188.0,96.0,Gold
2000,Summer,Men,Rowing,Quadruple Sculls,Agostino Abbagnale,ITA,Italy,188.0,96.0,Gold
1984,Summer,Men,Rowing,Coxed Pairs,Carmine Abbagnale,ITA,Italy,182.0,90.0,Gold
1988,Summer,Men,Rowing,Coxed Pairs,Carmine Abbagnale,ITA,Italy,182.0,90.0,Gold
1992,Summer,Men,Rowing,Coxed Pairs,Carmine Abbagnale,ITA,Italy,182.0,90.0,Silver
1984,Summer,Men,Rowing,Coxed Pairs,Giuseppe Abbagnale,ITA,Italy,187.0,97.0,Gold
1988,Summer,Men,Rowing,Coxed Pairs,Giuseppe Abbagnale,ITA,Italy,187.0,97.0,Gold
1992,Summer,Men,Rowing,Coxed Pairs,Giuseppe Abbagnale,ITA,Italy,187.0,97.0,Silver
1906,Summer,Men,Football,Football,"George ""Ioannis"" Abbot",GRE,Thessalonki-1,,,Bronze
2008,Summer,Men,Hockey,Hockey,"Desmond ""Des"" Abbott",AUS,Australia,184.0,87.0,Bronze
2014,Winter,Men,Figure Skating,Team,Jeremy Abbott,USA,United States,175.0,70.0,Bronze
1900,Summer,Women,Golf,Individual,Margaret Ives Abbott (-Dunne),USA,United States,,,Gold
2008,Summer,Women,Softball,Softball,Monica Cecilia Abbott,USA,United States,191.0,88.0,Silver
2004,Summer,Women,Taekwondo,Featherweight,Nia Nicole Abdallah,USA,United States,175.0,56.0,Silver
2016,Summer,Men,Wrestling,"Middleweight, Greco-Roman",Saeid Morad Abdevali,IRI,Iran,170.0,80.0,Bronze
1984,Summer,Women,Swimming,4 x 100 metres Medley Relay,Reema Abdo,CAN,Canada,173.0,59.0,Bronze
1960,Summer,Men,Hockey,Hockey,Lala Abdul Rashid,PAK,Pakistan,169.0,91.0,Gold
1964,Summer,Men,Hockey,Hockey,Muhammad Abdul Rashid,PAK,Pakistan,181.0,72.0,Silver
1972,Summer,Men,Wrestling,"Featherweight, Freestyle",Zagalav Abdulbekovich Abdulbekov,URS,Soviet Union,160.0,62.0,Gold
2000,Summer,Men,Boxing,Light-Welterweight,Mukhammad Kadyr Abdullayev,UZB,Uzbekistan,169.0,63.0,Gold
1996,Summer,Men,Wrestling,"Flyweight, Freestyle",Namiq Yadulla Abdullayev,AZE,Azerbaijan,167.0,55.0,Silver
2000,Summer,Men,Wrestling,"Bantamweight, Freestyle",Namiq Yadulla Abdullayev,AZE,Azerbaijan,167.0,55.0,Gold
2000,Summer,Men,Basketball,Basketball,Julius Shareef Abdur-Rahim,USA,United States,202.0,104.0,Gold
2008,Summer,Men,Wrestling,"Light-Heavyweight, Freestyle",Yusup Abdusalomov,TJK,Tajikistan,170.0,84.0,Silver
1992,Summer,Men,Athletics,Hammer Throw,Andrey Khakimovich Abduvaliyev,EUN,Unified Team,190.0,125.0,Gold
1994,Winter,Men,Nordic Combined,Team,Masashi Abe,JPN,Japan,175.0,64.0,Gold
1992,Summer,Men,Athletics,"10,000 metres",Addis Abebe,ETH,Ethiopia,160.0,50.0,Bronze
1924,Summer,Men,Football,Football,"Max ""Xam"" Abegglen",SUI,Switzerland,,,Silver
1924,Winter,Men,Ice Hockey,Ice Hockey,Clarence John Abel,USA,United States,185.0,102.0,Silver
1952,Winter,Men,Ice Hockey,Ice Hockey,George Gordon Abel,CAN,Canada,,,Gold
1972,Summer,Women,Gymnastics,Team All-Around,Irene Abel,GDR,East Germany,160.0,48.0,Silver
2012,Summer,Women,Diving,Synchronized Springboard,Jennifer Abel,CAN,Canada,160.0,62.0,Bronze
1920,Summer,Men,Sailing,7 metres,Egil Sten Abel,NOR,Fornebo,,,Silver
1992,Summer,Men,Football,Football,Abelardo Fernndez Antua,ESP,Spain,,,Gold
1900,Summer,Men,Rowing,Coxed Eights,"Louis Grenville ""Lou"" Abell",USA,Vesper Boat Club,,,Gold
1904,Summer,Men,Rowing,Coxed Eights,"Louis Grenville ""Lou"" Abell",USA,Vesper Boat Club,,,Gold
2000,Summer,Men,Athletics,Marathon,Gezahgne Abera,ETH,Ethiopia,166.0,58.0,Gold
1912,Summer,Men,Athletics,Long Jump,Nils Georg berg,SWE,Sweden,181.0,78.0,Bronze
1912,Summer,Men,Athletics,Triple Jump,Nils Georg berg,SWE,Sweden,181.0,78.0,Silver
2000,Summer,Men,Baseball,Baseball,Michael Brent Abernathy,USA,United States,182.0,84.0,Gold
1956,Summer,Women,Swimming,4 x 100 metres Freestyle Relay,Moira Abernethy (-Ford),RSA,South Africa,,,Bronze
2008,Summer,Women,Athletics,"5,000 metres",Elvan Abeylegesse,TUR,Turkey,159.0,40.0,Silver
1980,Summer,Men,Wrestling,"Middleweight, Freestyle",Ismail Abilov (-Nizamolu),BUL,Bulgaria,172.0,82.0,Gold
1932,Summer,Men,Athletics,4 x 400 metres Relay,"Edgar Allen ""Ed"" Ablowich",USA,United States,182.0,68.0,Gold
2012,Summer,Men,Gymnastics,Floor Exercise,Denis Mikhaylovich Ablyazin,RUS,Russia,161.0,62.0,Bronze
2012,Summer,Men,Gymnastics,Horse Vault,Denis Mikhaylovich Ablyazin,RUS,Russia,161.0,62.0,Silver
2016,Summer,Men,Gymnastics,Team All-Around,Denis Mikhaylovich Ablyazin,RUS,Russia,161.0,62.0,Silver
2016,Summer,Men,Gymnastics,Horse Vault,Denis Mikhaylovich Ablyazin,RUS,Russia,161.0,62.0,Silver
2016,Summer,Men,Gymnastics,Rings,Denis Mikhaylovich Ablyazin,RUS,Russia,161.0,62.0,Bronze
1972,Summer,Men,Swimming,4 x 100 metres Freestyle Relay,Viktor Andreyevich Aboimov,URS,Soviet Union,190.0,78.0,Silver
1972,Summer,Men,Swimming,4 x 200 metres Freestyle Relay,Viktor Andreyevich Aboimov,URS,Soviet Union,190.0,78.0,Bronze
2016,Summer,Men,Swimming,4 x 100 metres Freestyle Relay,"Matthew ""Matt"" Abood",AUS,Australia,197.0,92.0,Bronze
2012,Summer,Men,Fencing,"Foil, Individual",Alaaeldin Ahmad El-Sayyid Abouelkassem,EGY,Egypt,188.0,87.0,Silver
1988,Summer,Men,Canoeing,"Kayak Doubles, 500 metres",Attila brahm,HUN,Hungary,192.0,88.0,Bronze
1988,Summer,Men,Canoeing,"Kayak Fours, 1,000 metres",Attila brahm,HUN,Hungary,192.0,88.0,Gold
1992,Summer,Men,Canoeing,"Kayak Fours, 1,000 metres",Attila brahm,HUN,Hungary,192.0,88.0,Silver
1980,Summer,Men,Swimming,4 x 100 metres Medley Relay,Gary Abraham,GBR,Great Britain,175.0,64.0,Bronze
2004,Summer,Men,Wrestling,"Light-Heavyweight, Greco-Roman",Ara Abrahamian,SWE,Sweden,191.0,84.0,Silver
1924,Summer,Men,Athletics,100 metres,Harold Maurice Abrahams,GBR,Great Britain,183.0,75.0,Gold
1924,Summer,Men,Athletics,4 x 100 metres Relay,Harold Maurice Abrahams,GBR,Great Britain,183.0,75.0,Silver
1912,Summer,Men,Gymnastics,"Team All-Around, Free System",Isak Abrahamsen,NOR,Norway,,,Gold
1920,Summer,Men,Athletics,Long Jump,Erik Adolf Efraim Abrahamsson,SWE,Sweden,172.0,61.0,Bronze
1928,Winter,Men,Ice Hockey,Ice Hockey,Karl Gustaf Emanuel Abrahamsson,SWE,Sweden,,,Silver
2004,Summer,Men,Volleyball,Volleyball,Pavel Sergeyevich Abramov,RUS,Russia,198.0,89.0,Bronze
1964,Summer,Women,Volleyball,Volleyball,Nelli Mikhaylovna Abramova,URS,Soviet Union,171.0,60.0,Silver
2006,Winter,Women,Speed Skating,Team Pursuit (6 laps),Yekaterina Konstantinovna Abramova,RUS,Russia,167.0,65.0,Bronze
2016,Summer,Men,Basketball,Basketball,"Alejandro ""lex"" Abrines Redondo",ESP,Spain,198.0,93.0,Bronze
2008,Summer,Women,Basketball,Basketball,Svetlana Olegovna Abrosimova,RUS,Russia,188.0,77.0,Bronze
1980,Summer,Men,Wrestling,"Lightweight, Freestyle",Saypulla Atavovich Absaidov,URS,Soviet Union,168.0,68.0,Gold
2004,Summer,Men,Cycling,"Mountainbike, Cross-Country",Julien Absalon,FRA,France,180.0,68.0,Gold
2008,Summer,Men,Cycling,"Mountainbike, Cross-Country",Julien Absalon,FRA,France,180.0,68.0,Gold
2016,Summer,Men,Taekwondo,Featherweight,Ahmad Abughaush,JOR,Jordan,178.0,68.0,Gold
1964,Summer,Women,Gymnastics,Team All-Around,Ginko Abukawa-Chiba,JPN,Japan,148.0,46.0,Bronze
1980,Summer,Men,Fencing,"epee, Team",Aleksandr Veniaminovich Abushakhmetov,URS,Soviet Union,189.0,81.0,Bronze
1980,Summer,Men,Wrestling,"Featherweight, Freestyle",Magomedgasan Mingazhutdinovich Abushev,URS,Soviet Union,170.0,62.0,Gold
2008,Summer,Women,Gymnastics,Team All-Around,Andreea Roxana Acatrinei,ROU,Romania,150.0,40.0,Bronze
2012,Summer,Men,Handball,Handball,William Accambray,FRA,France,194.0,104.0,Gold
1988,Winter,Men,Alpine Skiing,Combined,Paul Accola,SUI,Switzerland,176.0,82.0,Bronze
1920,Summer,Men,Football,Football,Domingo Gmez-Acedo Villanueva,ESP,Spain,,,Silver
1992,Summer,Men,Boxing,Welterweight,Anibl Santiago Acevedo,PUR,Puerto Rico,176.0,67.0,Bronze
1984,Summer,Men,Wrestling,"Flyweight, Greco-Roman",Daniel Aceves Villagrn,MEX,Mexico,158.0,52.0,Silver
1992,Summer,Men,Football,Football,Joachim Yaw Acheampong,GHA,Ghana,181.0,73.0,Bronze
1984,Summer,Men,Cycling,100 kilometres Team Time Trial,Alfred Achermann,SUI,Switzerland,176.0,75.0,Silver
1988,Summer,Men,Boxing,Featherweight,Abdel Hak Achik,MAR,Morocco,165.0,54.0,Bronze
1992,Summer,Men,Boxing,Bantamweight,Mohamed Abdelhak Achik,MAR,Morocco,174.0,57.0,Bronze
1968,Winter,Women,Cross Country Skiing,3 x 5 kilometres Relay,Rita Nikolayevna Achkina,URS,Soviet Union,168.0,63.0,Bronze
2012,Summer,Women,Rowing,Coxed Eights,Chantal Achterberg,NED,Netherlands,172.0,72.0,Bronze
2016,Summer,Women,Rowing,Quadruple Sculls,Chantal Achterberg,NED,Netherlands,172.0,72.0,Silver
1920,Summer,Men,Gymnastics,"Team All-Around, Swedish System",Fausto Alesio Acke (Padovini-),SWE,Sweden,,,Gold
1976,Summer,Men,Hockey,Hockey,Paul Douglas Ackerley,NZL,New Zealand,179.0,68.0,Gold
1920,Summer,Men,Wrestling,"Featherweight, Freestyle","Charles Edwin ""Charley"" Ackerly",USA,United States,,,Gold
2002,Winter,Men,Nordic Combined,Team,Ronny Ackermann,GER,Germany,184.0,69.0,Silver
2002,Winter,Men,Nordic Combined,Sprint,Ronny Ackermann,GER,Germany,184.0,69.0,Silver
2006,Winter,Men,Nordic Combined,Team,Ronny Ackermann,GER,Germany,184.0,69.0,Silver
1992,Winter,Men,Bobsleigh,Two,Donat Acklin,SUI,Switzerland-1,190.0,99.0,Gold
1992,Winter,Men,Bobsleigh,Four,Donat Acklin,SUI,Switzerland-1,190.0,99.0,Bronze
1994,Winter,Men,Bobsleigh,Two,Donat Acklin,SUI,Switzerland-1,190.0,99.0,Gold
1994,Winter,Men,Bobsleigh,Four,Donat Acklin,SUI,Switzerland-1,190.0,99.0,Silver
1994,Winter,Men,Bobsleigh,Two,Guido Acklin,SUI,Switzerland-2,200.0,104.0,Silver
2008,Summer,Men,Football,Football,Lautaro Germn Acosta,ARG,Argentina,168.0,72.0,Gold
2008,Summer,Men,Boxing,Heavyweight,Osmay Acosta Duarte,CUB,Cuba,188.0,91.0,Bronze
1952,Summer,Men,Basketball,Basketball,Martn Ral Acosta y Lara Daz,URU,Uruguay,,,Bronze
1980,Summer,Men,Boxing,Lightweight,Kazimierz Piotr Adach,POL,Poland,162.0,60.0,Bronze
1936,Summer,Men,Rowing,Coxed Eights,"Gordon Belgum ""Gordy"" Adam",USA,United States,,,Gold
1976,Summer,Men,Modern Pentathlon,Team,Ji Adam,TCH,Czechoslovakia,187.0,83.0,Silver
2006,Winter,Men,Curling,Curling,"Michael B. ""Mike"" Adam",CAN,Canada,175.0,95.0,Gold
1936,Summer,Men,Fencing,"Foil, Team",Otto Adam,GER,Germany,,,Bronze
1948,Summer,Men,Cycling,"Team Pursuit, 4,000 metres",Pierre Louis Eugne Adam,FRA,France,,,Gold
1992,Summer,Men,Football,Football,Dariusz Adamczuk,POL,Poland,179.0,78.0,Silver
1912,Summer,Men,Athletics,Standing High Jump,"Benjamin Willard ""Ben"" Adams",USA,United States,188.0,78.0,Silver
1912,Summer,Men,Athletics,Standing Long Jump,"Benjamin Willard ""Ben"" Adams",USA,United States,188.0,78.0,Bronze
1904,Summer,Men,Swimming,Plunge For Distance,Edgar Holmes Adams,USA,United States,,,Silver
1912,Summer,Men,Shooting,"Military Rifle, 200, 400, 500 and 600 metres, Team",Harry Lester Adams,USA,United States,,,Gold
1980,Summer,Men,Judo,Lightweight,Adrian Neil Adams,GBR,Great Britain,178.0,78.0,Silver
1984,Summer,Men,Judo,Half-Middleweight,Adrian Neil Adams,GBR,Great Britain,178.0,78.0,Silver
2012,Summer,Women,Boxing,Flyweight,Nicola Virginia Adams,GBR,Great Britain,164.0,51.0,Gold
2016,Summer,Women,Boxing,Flyweight,Nicola Virginia Adams,GBR,Great Britain,164.0,51.0,Gold
1912,Summer,Men,Athletics,Standing High Jump,Platt Adams,USA,United States,188.0,78.0,Gold
1912,Summer,Men,Athletics,Standing Long Jump,Platt Adams,USA,United States,188.0,78.0,Silver
2016,Summer,Women,Volleyball,Volleyball,Rachael Alexis Adams,USA,United States,188.0,81.0,Bronze
2014,Winter,Women,Curling,Curling,"Victoria ""Vicki"" Adams",GBR,Great Britain,164.0,69.0,Bronze
2008,Summer,Women,Athletics,Shot Put,Valerie Kasanita Adams-Vili (-Price),NZL,New Zealand,193.0,120.0,Gold
2012,Summer,Women,Athletics,Shot Put,Valerie Kasanita Adams-Vili (-Price),NZL,New Zealand,193.0,120.0,Gold
2016,Summer,Women,Athletics,Shot Put,Valerie Kasanita Adams-Vili (-Price),NZL,New Zealand,193.0,120.0,Silver
2012,Summer,Men,Rowing,Coxed Eights,Filip Kamil Adamski,GER,Germany,189.0,87.0,Gold
1936,Summer,Men,Rowing,Coxed Pairs,Herbert Adamski,GER,Germany,,,Gold
1960,Summer,Men,Boxing,Featherweight,Jerzy Adamski,POL,Poland,171.0,58.0,Silver
1992,Summer,Men,Football,Football,Simon Addo,GHA,Ghana,180.0,79.0,Bronze
1920,Summer,Men,Shooting,"Military Rifle, 300 metres and 600 metres, Prone, Team",Eugene Addor,SUI,Switzerland,,,Bronze
2008,Summer,Men,Football,Football,Olubayo Adefemi,NGR,Nigeria,181.0,82.0,Silver
2008,Summer,Men,Football,Football,"Ayodele ""Dele"" Adeleye",NGR,Nigeria,190.0,80.0,Silver
1984,Summer,Men,Football,Football,Ademir Roque Kaefer,BRA,Brazil,179.0,74.0,Silver
1988,Summer,Men,Football,Football,Ademir Roque Kaefer,BRA,Brazil,179.0,74.0,Silver
1992,Summer,Men,Athletics,4 x 100 metres Relay,Olapade Charles Adeniken,NGR,Nigeria,186.0,78.0,Silver
2012,Summer,Women,Volleyball,Volleyball,Adenzia Aparecida Ferreira da Silva,BRA,Brazil,187.0,65.0,Gold
1992,Summer,Men,Canoeing,"Canadian Doubles, Slalom",Franck Adisson,FRA,France-1,180.0,70.0,Bronze
1996,Summer,Men,Canoeing,"Canadian Doubles, Slalom",Franck Adisson,FRA,France-1,180.0,70.0,Gold
2010,Winter,Men,Bobsleigh,Two,"Richard ""Richy""  Adjei",GER,Germany-2,190.0,110.0,Silver
1992,Summer,Men,Football,Football,Sammi Adjei,GHA,Ghana,,,Bronze
1952,Summer,Men,Boxing,Light-Welterweight,"Charles ""Chuck"" Adkins",USA,United States,,,Gold
1996,Summer,Men,Athletics,400 metres Hurdles,Derrick Ralph Adkins,USA,United States,188.0,80.0,Gold
1948,Summer,Men,Hockey,Hockey,"Robert Edward ""Bob"" Adlard",GBR,Great Britain,,,Silver
1984,Summer,Men,Sailing,Three Person Keelboat,Daniel Adler,BRA,Brazil,180.0,72.0,Silver
1960,Summer,Men,Cycling,100 kilometres Team Time Trial,Egon Adler,GER,Germany,172.0,62.0,Silver
1912,Summer,Women,Swimming,4 x 100 metres Freestyle Relay,"Margarete ""Grete"" Adler",AUT,Austria,,,Bronze
1936,Summer,Men,Equestrianism,"Dressage, Team",Gregor Nils Henric Adlercreutz,SWE,Sweden,,,Bronze
1912,Summer,Men,Equestrianism,"Three-Day Event, Team",Nils August Domingo Adlercreutz,SWE,Sweden,,,Gold
1908,Summer,Women,Tennis,"Singles, Covered Courts",Anna Mrtha Vilhelmina Adlerstrhle (von Oelreich-),SWE,Sweden,,,Bronze
1912,Summer,Men,Diving,Platform,Erik William Adlerz,SWE,Sweden,,,Gold
1912,Summer,Men,Diving,Plain High,Erik William Adlerz,SWE,Sweden,,,Gold
1920,Summer,Men,Diving,Platform,Erik William Adlerz,SWE,Sweden,,,Silver
2008,Summer,Women,Swimming,400 metres Freestyle,"Rebecca ""Becky"" Adlington",GBR,Great Britain,179.0,70.0,Gold
2008,Summer,Women,Swimming,800 metres Freestyle,"Rebecca ""Becky"" Adlington",GBR,Great Britain,179.0,70.0,Gold
2012,Summer,Women,Swimming,400 metres Freestyle,"Rebecca ""Becky"" Adlington",GBR,Great Britain,179.0,70.0,Bronze
2012,Summer,Women,Swimming,800 metres Freestyle,"Rebecca ""Becky"" Adlington",GBR,Great Britain,179.0,70.0,Bronze
2000,Summer,Men,Basketball,Basketball,Dainius Adomaitis,LTU,Lithuania,202.0,100.0,Bronze
2008,Summer,Men,Swimming,4 x 100 metres Freestyle Relay,Nathan Ghar-Jun Adrian,USA,United States,198.0,100.0,Gold
2012,Summer,Men,Swimming,100 metres Freestyle,Nathan Ghar-Jun Adrian,USA,United States,198.0,100.0,Gold
2012,Summer,Men,Swimming,4 x 100 metres Freestyle Relay,Nathan Ghar-Jun Adrian,USA,United States,198.0,100.0,Silver
2012,Summer,Men,Swimming,4 x 100 metres Medley Relay,Nathan Ghar-Jun Adrian,USA,United States,198.0,100.0,Gold
2016,Summer,Men,Swimming,50 metres Freestyle,Nathan Ghar-Jun Adrian,USA,United States,198.0,100.0,Bronze
2016,Summer,Men,Swimming,100 metres Freestyle,Nathan Ghar-Jun Adrian,USA,United States,198.0,100.0,Bronze
2016,Summer,Men,Swimming,4 x 100 metres Freestyle Relay,Nathan Ghar-Jun Adrian,USA,United States,198.0,100.0,Gold
2016,Summer,Men,Swimming,4 x 100 metres Medley Relay,Nathan Ghar-Jun Adrian,USA,United States,198.0,100.0,Gold
1996,Summer,Women,Basketball,Basketball,Adriana Aparecida dos Santos,BRA,Brazil,180.0,61.0,Silver
2000,Summer,Women,Basketball,Basketball,Adriana Aparecida dos Santos,BRA,Brazil,180.0,61.0,Bronze
2000,Summer,Women,Basketball,Basketball,"Adriana ""Adrianinha"" Moiss Pinto",BRA,Brazil,170.0,65.0,Bronze
1996,Summer,Men,Canoeing,"Kayak Fours, 1,000 metres",Attila Adrovicz,HUN,Hungary,189.0,87.0,Silver
1964,Summer,Men,Rowing,Coxed Eights,Klaus Aeffke,GER,Germany,189.0,82.0,Silver
2012,Summer,Women,Gymnastics,Team All-Around,Kseniya Dmitriyevna Afanasyeva,RUS,Russia,158.0,48.0,Silver
2002,Winter,Men,Ice Hockey,Ice Hockey,Maksim Sergeyevich Afinogenov,RUS,Russia,183.0,88.0,Bronze
1996,Summer,Women,Athletics,4 x 400 metres Relay,"Olabisi ""Bisi"" Afolabi",NGR,Nigeria,180.0,62.0,Silver
1976,Summer,Women,Rowing,Coxed Quadruple Sculls,Felicia Afrsiloaie (-Jitianu),ROU,Romania,178.0,70.0,Bronze
2016,Summer,Men,Rugby Sevens,Rugby Sevens,Cecil Sebastian Afrika,RSA,South Africa,175.0,75.0,Bronze
1964,Summer,Men,Hockey,Hockey,Muhammad Afzal Manna,PAK,Pakistan,173.0,76.0,Silver
2016,Summer,Men,Rugby Sevens,Rugby Sevens,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",RSA,South Africa,193.0,104.0,Bronze
1984,Summer,Women,Gymnastics,Team All-Around,Lavinia Agache (-Carney),ROU,Romania,148.0,40.0,Gold
1984,Summer,Women,Gymnastics,Horse Vault,Lavinia Agache (-Carney),ROU,Romania,148.0,40.0,Bronze
2004,Summer,Men,Rowing,Coxless Fours,Luca Agamennoni,ITA,Italy,187.0,93.0,Bronze
2008,Summer,Men,Rowing,Quadruple Sculls,Luca Agamennoni,ITA,Italy,187.0,93.0,Silver
1996,Summer,Men,Tennis,Singles,Andre Kirk Agassi,USA,United States,180.0,80.0,Gold
2016,Summer,Women,Judo,Half-Middleweight,Clarisse Agbegnenou,FRA,France,164.0,66.0,Silver
1920,Summer,Men,Sailing,6 metres,Henrik Agersborg,NOR,Stella-2,,,Bronze
1956,Summer,Men,Water Polo,Water Polo,Viktor Ivanovich Ageyev,URS,Soviet Union,184.0,80.0,Bronze
1960,Summer,Men,Water Polo,Water Polo,Viktor Ivanovich Ageyev,URS,Soviet Union,184.0,80.0,Silver
1964,Summer,Men,Water Polo,Water Polo,Viktor Ivanovich Ageyev,URS,Soviet Union,184.0,80.0,Bronze
2008,Summer,Women,Hockey,Hockey,Marilyn Agliotti,NED,Netherlands,172.0,58.0,Gold
2012,Summer,Women,Hockey,Hockey,Marilyn Agliotti,NED,Netherlands,172.0,58.0,Gold
2012,Summer,Men,Swimming,200 metres Freestyle,Yannick Agnel,FRA,France,202.0,90.0,Gold
2012,Summer,Men,Swimming,4 x 100 metres Freestyle Relay,Yannick Agnel,FRA,France,202.0,90.0,Gold
2012,Summer,Men,Swimming,4 x 200 metres Freestyle Relay,Yannick Agnel,FRA,France,202.0,90.0,Silver
2006,Winter,Women,Ice Hockey,Ice Hockey,Meghan Christina Agosta (-Marciano),CAN,Canada,168.0,67.0,Gold
2010,Winter,Women,Ice Hockey,Ice Hockey,Meghan Christina Agosta (-Marciano),CAN,Canada,168.0,67.0,Gold
2014,Winter,Women,Ice Hockey,Ice Hockey,Meghan Christina Agosta (-Marciano),CAN,Canada,168.0,67.0,Gold
2006,Winter,Men,Figure Skating,Ice Dancing,"Benjamin Alexandro ""Ben"" Agosto",USA,United States-1,178.0,75.0,Silver
1964,Summer,Women,Fencing,"Foil, Team",Judit goston-Mendelnyi,HUN,Hungary,164.0,62.0,Gold
