year,season,gender,sport,discipline,name,noc,team,height,weight,medal
1900,Summer,Men,Tug-Of-War,Tug-Of-War,Edgar Lindenau Aabye,DEN,Denmark/Sweden,,,Gold
1920,Summer,Men,Swimming,200 metres Breaststroke,Arvo Ossian Aaltonen,FIN,Finland,,,Bronze
1920,Summer,Men,Swimming,400 metres Breaststroke,Arvo Ossian Aaltonen,FIN,Finland,,,Bronze
2014,Winter,Men,Ice Hockey,Ice Hockey,Juhamatti Tapio Aaltonen,FIN,Finland,184.0,85.0,Bronze
1948,Summer,Men,Gymnastics,Individual All-Around,Paavo Johannes Aaltonen,FIN,Finland,175.0,64.0,Bronze
1948,Summer,Men,Gymnastics,Team All-Around,Paavo Johannes Aaltonen,FIN,Finland,175.0,64.0,Gold
1948,Summer,Men,Gymnastics,Horse Vault,Paavo Johannes Aaltonen,FIN,Finland,175.0,64.0,Gold
1948,Summer,Men,Gymnastics,Pommelled Horse,Paavo Johannes Aaltonen,FIN,Finland,175.0,64.0,Gold
1952,Summer,Men,Gymnastics,Team All-Around,Paavo Johannes Aaltonen,FIN,Finland,175.0,64.0,Bronze
1992,Winter,Men,Alpine Skiing,Super G,Kjetil Andr Aamodt,NOR,Norway,176.0,85.0,Gold
1992,Winter,Men,Alpine Skiing,Giant Slalom,Kjetil Andr Aamodt,NOR,Norway,176.0,85.0,Bronze
1994,Winter,Men,Alpine Skiing,Downhill,Kjetil Andr Aamodt,NOR,Norway,176.0,85.0,Silver
1994,Winter,Men,Alpine Skiing,Super G,Kjetil Andr Aamodt,NOR,Norway,176.0,85.0,Bronze
1994,Winter,Men,Alpine Skiing,Combined,Kjetil Andr Aamodt,NOR,Norway,176.0,85.0,Silver
2002,Winter,Men,Alpine Skiing,Super G,Kjetil Andr Aamodt,NOR,Norway,176.0,85.0,Gold
2002,Winter,Men,Alpine Skiing,Combined,Kjetil Andr Aamodt,NOR,Norway,176.0,85.0,Gold
2006,Winter,Men,Alpine Skiing,Super G,Kjetil Andr Aamodt,NOR,Norway,176.0,85.0,Gold
2008,Summer,Women,Handball,Handball,Ragnhild Margrethe Aamodt,NOR,Norway,163.0,,Gold
1920,Summer,Men,Gymnastics,"Team All-Around, Free System",Alf Lied Aanning,NOR,Norway,,,Silver
1988,Summer,Women,Hockey,Hockey,Willemien Aardenburg,NED,Netherlands,,,Bronze
